,Country,Happiness score,GDP per capita,Family,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity,Social support,Year,Country Url,Region,Region code,Happiness status,Overall Rank,Rank per region,Capital City,Longitude,Latitude
408,Vietnam,5.073999882,0.788547575,1.277491331,0.652168989,0.571055591,0.08763323699999999,0.234968051,1.4623186590000001,2017,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg,ASIA,142.0,Amber,94.5,24.0,Hanoi,105.825,21.0069
409,Nigeria,5.073999882,0.783756256,1.215770483,0.05691573,0.394952565,0.026121566000000002,0.23094719600000002,2.365390539,2017,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg,AFRICA,2.0,Amber,94.5,6.0,Abuja,7.48906,9.05804
410,Tajikistan,5.040999889,0.524713635,1.271463275,0.529235125,0.47156670700000003,0.14637714599999999,0.248997644,1.84904933,2017,https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Tajikistan.svg,ASIA,142.0,Amber,96.0,25.0,Dushanbe,68.7864,38.5878
411,Bhutan,5.011000156000001,0.8854163890000001,1.340126514,0.495879292,0.5015376810000001,0.17338039,0.474054545,1.140184402,2017,https://upload.wikimedia.org/wikipedia/commons/9/91/Flag_of_Bhutan.svg,ASIA,142.0,Amber,97.0,26.0,Thimphu,89.6177,27.5768
412,Kyrgyzstan,5.004000187,0.596220076,1.394238591,0.5534577970000001,0.454943389,0.039439179,0.428580374,1.5367231369999999,2017,https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Kyrgyzstan.svg,ASIA,142.0,Amber,98.0,27.0,,,
413,Nepal,4.961999893,0.47982019200000003,1.179283261,0.504130781,0.44030594799999995,0.072975546,0.394096166,1.891241074,2017,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Nepal.svg,ASIA,142.0,Amber,99.0,28.0,Kathmandu,85.3157,27.6939
414,Mongolia,4.954999924,1.0272358659999998,1.4930112359999999,0.557783484,0.394143969,0.032902289,0.33846423,1.111292362,2017,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg,ASIA,142.0,Amber,100.0,29.0,Ulaanbaatar,106.937,47.9129
415,South Africa,4.828999996,1.054698706,1.3847886319999998,0.18708007,0.479246736,0.072509497,0.13936238,1.5109086040000002,2017,https://upload.wikimedia.org/wikipedia/commons/a/af/Flag_of_South_Africa.svg,AFRICA,2.0,Amber,101.0,7.0,Pretoria,28.1871,-25.746
416,Tunisia,4.804999828,1.007265806,0.86835146,0.613212049,0.28968069,0.086723149,0.049693357,1.89025116,2017,https://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Tunisia.svg,AFRICA,2.0,Amber,102.0,8.0,Tunis,10.21,36.7899
417,Palestinian Territories,4.775000095,0.716249228,1.1556471590000001,0.565666974,0.254711062,0.08928260199999999,0.114173174,1.878890276,2017,,,,Amber,103.0,4.0,,,
418,Egypt,4.735000134,0.989701807,0.997471392,0.520187259,0.282110155,0.114381365,0.128631443,1.7021610740000002,2017,https://upload.wikimedia.org/wikipedia/commons/f/fe/Flag_of_Egypt.svg,AFRICA,2.0,Amber,104.0,9.0,,,
